NO.,hostile_offline,hostile_online,aggression,online_offline
1636,0,0,0.458333333333333,0
1637,0.0416666666666667,0,0.305555555555556,-0.0416666666666667
1638,0.333333333333333,0.466666666666667,0.486111111111111,0.13333333333333403
1639,0,0,0.35,0
1640,0,0,0.194444444444444,0
1641,0,0,0.277777777777778,0
1642,0,0,0.125,0
1643,0,0,0.541666666666667,0
1644,0,0,0.277777777777778,0
1645,0,0.0555555555555555,0.378787878787879,0.0555555555555555
1646,0,0,0.361111111111111,0
1647,0.916666666666667,0.833333333333333,0.777777777777778,-0.08333333333333393
1648,0,0,0.347222222222222,0
1649,0,0,0.316666666666667,0
1650,0,0,0.277777777777778,0
1651,0,0,0.0972222222222222,0
1652,0,0,0.106060606060606,0
1653,0,0,0.409090909090909,0
1654,0.111111111111111,0.138888888888889,0.65,0.027777777777778012
1655,0,0,0.272727272727273,0
1656,0.458333333333333,0.388888888888889,0.402777777777778,-0.06944444444444398
1657,0,0,0.222222222222222,0
1658,0,0,0.318181818181818,0
1659,0.0555555555555555,0,0.407407407407407,-0.0555555555555555
1660,0,0,0.25,0
1661,0.416666666666667,0.444444444444444,0.583333333333333,0.027777777777776957
1662,0,0,0.138888888888889,0
1663,0,0,0.196969696969697,0
1664,0,0,0.277777777777778,0
1665,0.166666666666667,0.166666666666667,0.555555555555555,0
1666,0.166666666666667,0.166666666666667,0.541666666666667,0
1667,0.0416666666666667,0,0.333333333333333,-0.0416666666666667
1668,0.0416666666666667,0.25,0.291666666666667,0.20833333333333331
1669,0.0416666666666667,0,0.541666666666667,-0.0416666666666667
1670,0,0,0.5,0
1671,0,0,0.222222222222222,0
1672,0,0,0.393939393939394,0
1673,0,0,0,0
1674,0.0833333333333333,0.0833333333333333,0.638888888888889,0
1675,0,0,0.388888888888889,0
1676,0.333333333333333,0.361111111111111,0.5,0.027777777777778012
1677,0,0,0.0972222222222222,0
1678,0,0,0.277777777777778,0
1679,0.0416666666666667,0.0277777777777778,0.416666666666667,-0.013888888888888899
1680,0,0,0.319444444444444,0
1681,0,0,0.180555555555556,0
1682,0,0,0.196969696969697,0
1683,0,0.0555555555555555,0.291666666666667,0.0555555555555555
1684,0,0,0.333333333333333,0
1685,0,0,0.263888888888889,0
1686,0,0.305555555555556,0.402777777777778,0.305555555555556
1687,0.666666666666667,0.694444444444445,0.805555555555555,0.027777777777778012
1688,0,0,0.3,0
1689,0,0,0.208333333333333,0
1690,0.0416666666666667,0,0.541666666666667,-0.0416666666666667
1691,0.166666666666667,0.111111111111111,0.236111111111111,-0.055555555555556
1692,0.0416666666666667,0.0277777777777778,0.319444444444444,-0.013888888888888899
1693,0,0,0.152777777777778,0
1694,0,0,0.166666666666667,0
1695,0,0,0.166666666666667,0
1696,0,0,0.125,0
1697,0,0,0.259259259259259,0
1698,0,0,0.416666666666667,0
1699,0,0,0.194444444444444,0
1700,0.166666666666667,0.166666666666667,0.555555555555555,0
1701,0.166666666666667,0.166666666666667,0.583333333333333,0
1702,0.0555555555555555,0,0.272727272727273,-0.0555555555555555
1703,0,0.0333333333333333,0.319444444444444,0.0333333333333333
1704,0.0416666666666667,0,0.458333333333333,-0.0416666666666667
1705,0.333333333333333,0.333333333333333,0.348484848484848,0
1706,0,0,0.486111111111111,0
1707,0,0,0.263888888888889,0
1708,0,0,0.319444444444444,0
1709,0,0,0.361111111111111,0
1710,0.583333333333333,0.444444444444444,0.736111111111111,-0.13888888888888906
1711,0,0,0.347222222222222,0
1712,0.25,0.638888888888889,0.430555555555556,0.38888888888888895
1713,0,0,0.263888888888889,0
1714,0,0,0.111111111111111,0
1715,0,0,0.319444444444444,0
1716,0.0416666666666667,0,0.513888888888889,-0.0416666666666667
1717,0.166666666666667,0.166666666666667,0.541666666666667,0
1718,0,0,0.472222222222222,0
1719,0,0,0.666666666666667,0
1720,0.25,0,0.366666666666667,-0.25
1721,0.458333333333333,0.444444444444444,0.625,-0.013888888888889006
1722,0.166666666666667,0.194444444444444,0.583333333333333,0.027777777777777013
1723,0,0,0.277777777777778,0
1724,0.166666666666667,0.166666666666667,0.527777777777778,0
1725,0,0.533333333333333,0.222222222222222,0.533333333333333
